"filename", "language", "XML", "TypeScript", "Less", "vue", "CSS", "comment", "blank", "total"
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\uploadVideo.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\user.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\types\env.d.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 1, 7
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\utils\constants.ts", "TypeScript", 0, 84, 0, 0, 0, 4, 3, 91
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\utils\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\utils\types.ts", "TypeScript", 0, 24, 0, 0, 0, 5, 4, 33
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\variables.css", "CSS", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\variables.less", "Less", 0, 0, 14, 0, 0, 6, 4, 24
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\index.vue", "vue", 0, 0, 0, 277, 0, 0, 25, 302
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\loginWindow.vue", "vue", 0, 0, 0, 376, 0, 0, 30, 406
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\videoInfo.vue", "vue", 0, 0, 0, 138, 0, 0, 18, 156
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\index.vue", "vue", 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myCollections\collectionList.vue", "vue", 0, 0, 0, 71, 0, 0, 6, 77
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myCollections\index.vue", "vue", 0, 0, 0, 30, 0, 0, 5, 35
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myFollowsAndFans\index.vue", "vue", 0, 0, 0, 96, 0, 0, 11, 107
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myFollowsAndFans\userItem.vue", "vue", 0, 0, 0, 76, 0, 0, 12, 88
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myFollowsAndFans\userList.vue", "vue", 0, 0, 0, 119, 0, 0, 7, 126
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myVideos\index.vue", "vue", 0, 0, 0, 31, 0, 0, 5, 36
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myVideos\videoList.vue", "vue", 0, 0, 0, 70, 0, 1, 6, 77
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\personalSideBar.vue", "vue", 0, 0, 0, 456, 0, 9, 23, 488
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\videoItem.vue", "vue", 0, 0, 0, 80, 0, 0, 6, 86
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\post\index.vue", "vue", 0, 0, 0, 46, 0, 0, 8, 54
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\post\videoForm.vue", "vue", 0, 0, 0, 351, 0, 1, 15, 367
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\post\videoUpload.vue", "vue", 0, 0, 0, 148, 0, 0, 13, 161
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 84, 674, 14, 3065, 4, 64, 381, 4286
