"filename", "language", "TypeScript", "vue", "CSS", "Less", "XML", "comment", "blank", "total"
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\hooks\useNavigation.ts", "TypeScript", 29, 0, 0, 0, 0, 1, 6, 36
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\main.ts", "TypeScript", 23, 0, 0, 0, 0, 5, 5, 33
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\router\index.ts", "TypeScript", 101, 0, 0, 0, 0, 4, 5, 110
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\store.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\uploadVideo.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\user.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\stores\videoList.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\types\env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\utils\constants.ts", "TypeScript", 84, 0, 0, 0, 0, 4, 3, 91
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\utils\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\utils\types.ts", "TypeScript", 42, 0, 0, 0, 0, 6, 5, 53
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\variables.css", "CSS", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\variables.less", "Less", 0, 0, 0, 14, 0, 6, 4, 24
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\index.vue", "vue", 0, 354, 0, 0, 0, 0, 29, 383
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\loginWindow.vue", "vue", 0, 459, 0, 0, 0, 0, 32, 491
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\videoInfo.vue", "vue", 0, 271, 0, 0, 0, 0, 28, 299
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\home\videoQueue.vue", "vue", 0, 55, 0, 0, 0, 0, 6, 61
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\index.vue", "vue", 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myCollections\collectionList.vue", "vue", 0, 71, 0, 0, 0, 0, 6, 77
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myCollections\index.vue", "vue", 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myFollowsAndFans\index.vue", "vue", 0, 96, 0, 0, 0, 0, 11, 107
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myFollowsAndFans\userItem.vue", "vue", 0, 76, 0, 0, 0, 0, 12, 88
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myFollowsAndFans\userList.vue", "vue", 0, 119, 0, 0, 0, 0, 7, 126
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myPlayer\index.vue", "vue", 0, 199, 0, 0, 0, 0, 15, 214
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myVideos\index.vue", "vue", 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\myVideos\videoList.vue", "vue", 0, 84, 0, 0, 0, 1, 7, 92
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\personalCenter\personalSideBar.vue", "vue", 0, 454, 0, 0, 0, 9, 23, 486
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\post\index.vue", "vue", 0, 46, 0, 0, 0, 0, 8, 54
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\post\videoForm.vue", "vue", 0, 351, 0, 0, 0, 1, 15, 367
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\views\post\videoUpload.vue", "vue", 0, 148, 0, 0, 0, 0, 13, 161
"c:\Users\31314\Desktop\Programs\Project\Null-Video\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 825, 3897, 4, 14, 114, 83, 452, 5389
